Escala Estado,Muelle Real,Noray Inicio,Noray Fin,Escala,Fecha Atraque Real,Fecha Desatraque Real,Buque,Buque GT,Buque Eslora,Consignatario,Estibador,Tipo Operación,Cantidad,Lugar Operación,País,Puerto Origen,Mercancia,Naturaleza Mercancia,Grupo Mercancía
Finalizada,26 CANTABRIA PROLONGACIO,23,32,T202200020,2022-01-01 12:00:00,2022-01-03 19:34:00,EXEBORG,7680,144.56,"WAVE SHIPPING, S.L.",EUROPORTS IBERICA TPS S.L.,Desembarque,1891,PASTA Y BOBINAS DE PAPEL,HOLANDA,GANDIA,PASTA,26 Papel y pasta,Otras mercancías
Finalizada,13 CASTELLA OEST ,0,15,T202200044,2022-01-01 17:50:00,2022-01-14 21:27:00,GLAD YOUNG,44029,229,"ERSHIP, S.A.","ERSHIP, S.A.",Desembarque,66000,MAIZ,IS. MARSHALL,ILYICHEVSK,MAIZ,21 Cereales y sus harinas,Agro-Ganadero y Alimentario
Finalizada,22 PANTALA ASESA / P100,0,0,T202200022,2022-01-01 18:00:00,2022-01-03 02:50:00,SEAEMPRESS,23241,182.55,"TRANSMAR SHIP AND FORWARDING AGENCY,S.L.",ASFALTOS ESPAÑOLES S.A. (ASESA),Desembarque,25000,CRUDO PETROLEO,MALTA,TERMOLI,CRUDO,1 Petróleo crudo,Energético
Finalizada,14 QUIMICA 1,0,0,T202200017,2022-01-01 18:50:00,2022-01-04 02:56:00,HOUYOSHI PARK,12145,145,IBERICA MARITIMA TARRAGONA S.A.,NOREL S.A.,Desembarque,8400,ACEITE DE PALMA ( PFAD),LIBERIA,SAVONA,ACEITES,29 Aceites y grasas,Agro-Ganadero y Alimentario
Finalizada,16 QUIMICA 3,0,0,T202200055,2022-01-01 20:00:00,2022-01-02 09:46:00,SCALI DEL TEATRO,3430,87.5,"AARUS MARITIMA, S.A.",REPSOL BUTANO S.A. Dirección de Producción y Logística,Embarque,1400,BUTANO,MALTA,SARROCH (PORTO FOXI),BUTANO,7 Gases energéticos del petróleo,Energético
Finalizada,26 CANTABRIA PROLONGACIO,1,13,T202200052,2022-01-02 05:50:00,2022-01-02 11:48:00,NEPTUNE THALASSA,37692,169.55,"BERGE MARITIMA, S.L.","BERGE MARITIMA, S.L.",Desembarque,258,NO INFORMADO VEHICULOS,MALTA,BARCELONA,VEHICULOS,32 Vehículos y sus piezas,Vehículos y transporte
Finalizada,27 PANTALA REPSOL 11-S,0,0,T202200029,2022-01-02 08:40:00,2022-01-03 09:22:00,CORAL PATULA,7251,115,"NOATUM MARITIME SPAIN, S.A.","REPSOL PETROLEO, S.A.",Embarque,2000,ETILENO,HOLANDA,SINES,ETILENO,17 Productos químicos,Químicos
Finalizada,27 PANTALA REPSOL 11-S,0,0,T202200029,2022-01-02 08:40:00,2022-01-03 09:22:00,CORAL PATULA,7251,115,"NOATUM MARITIME SPAIN, S.A.","NOATUM MARITIME SPAIN, S.A.",Trasbordo,2000,ETILENO,HOLANDA,SINES,ETILENO,17 Productos químicos,Químicos
Finalizada,28 PANTALA REPSOL 35-S,0,0,T202200034,2022-01-02 12:30:00,2022-01-04 06:58:00,PS HOUSTON,30119,183,"NOATUM MARITIME SPAIN, S.A.","REPSOL PETROLEO, S.A.",Desembarque,35960,NAFTA,MALTA,NOVOROSSIYSK,NAFTA,35 Gas natural y otros gases,Energético
Finalizada,26 CANTABRIA PROLONGACIO,2,9,T202200033,2022-01-02 20:30:00,2022-01-04 21:35:00,TULIP,4968,102.01,"EUROTRANSITOS Y CONSIGNACIONES MARITIMAS EUROMARCO, S.L.",EUROPORTS IBERICA TPS S.L.,Embarque,600,TERNEROS,LIBANO,MISURATA,TERNEROS,30 Otros productos alimenticios,Agro-Ganadero y Alimentario
Finalizada,17 QUIMICA 4,0,0,T202200042,2022-01-02 23:20:00,2022-01-03 19:16:00,YM PLUTO,4829,119.6,"NEXT MARITIME, S.L.U.","TERMINALES QUIMICOS, S.A. (TERQUIMSA)",Desembarque,5200,BENCENO,MALTA,CONSTANTA,BENCENO,17 Productos químicos,Químicos
Finalizada,22 PANTALA ASESA / P100,0,0,T202200045,2022-01-03 03:15:00,2022-01-04 09:57:00,LS CHRISTINE,5729,125.4,"BERGE MARITIMA, S.L.",ASFALTOS ESPAÑOLES S.A. (ASESA),Desembarque,8000,NO INFORMADO GASOIL,PORTUGAL,ALGECIRAS,GASOIL,3 Gas-oil,Energético
Finalizada,02 CATALUNYA,14,22,T202200039,2022-01-03 21:25:00,2022-01-05 18:04:00,STARVIP,12899,147.35,EUROPORTS IBERICA TPS S.L.,EUROPORTS IBERICA TPS S.L.,Desembarque,17000,COQUE DE PETROLEO,MALTA,CARTAGENA,COQUE,12 Carbones y coque de petróleo,Energético
Finalizada,03 ALCUDIA,0,6,T202200056,2022-01-03 22:00:00,2022-01-04 22:04:00,SIDER VULCANO,5587,119.95,EUROPORTS IBERICA TPS S.L.,EUROPORTS IBERICA TPS S.L.,Embarque,6100,NAVARRA CARBON A GRANEL,PORTUGAL,PORTO VESME (PORTOSCURO),CARBON,12 Carbones y coque de petróleo,Energético
